date,time,temperature,rh,co2
12/06/19,16:51:16,26.570152282714844,36.50665283203125,0.0
12/06/19,16:51:17,26.58350372314453,36.50665283203125,0.0
12/06/19,16:51:19,26.58350372314453,36.43341064453125,0.0
12/06/19,16:51:21,26.599525451660156,36.4715576171875,0.0
12/06/19,16:51:23,26.612876892089844,36.4471435546875,0.0
12/06/19,16:51:26,26.62622833251953,36.44866943359375,0.0
12/06/19,16:51:28,26.62622833251953,36.46240234375,0.0
12/06/19,16:51:30,26.54344940185547,36.4166259765625,0.0
12/06/19,16:51:32,26.599525451660156,36.4715576171875,0.0
12/06/19,16:51:34,26.612876892089844,36.4990234375,0.0
12/06/19,16:51:36,26.62622833251953,36.474609375,0.0
12/06/19,16:51:38,26.62622833251953,36.48529052734375,0.0
12/06/19,16:51:41,26.655601501464844,36.4654541015625,0.0
12/06/19,16:51:43,26.66895294189453,36.4288330078125,0.0
12/06/19,16:51:45,26.66895294189453,36.41510009765625,0.0
12/06/19,16:51:47,26.695655822753906,36.40594482421875,0.0
12/06/19,16:51:49,26.71167755126953,36.3433837890625,0.0
12/06/19,16:51:51,26.655601501464844,36.2884521484375,0.0
12/06/19,16:51:53,26.68230438232422,36.34185791015625,0.0
12/06/19,16:51:56,26.655601501464844,36.328125,0.0
12/06/19,16:51:58,26.63957977294922,36.3006591796875,0.0
12/06/19,16:52:00,26.68230438232422,36.32965087890625,0.0
